Title,Type,Eps,Season,Year,Day,Timeslot,Source,Runtime,Rating,Score,Popularity,Sequel,Studio,Genres,Producers,Licensors
Fullmetal Alchemist: Brotherhood,TV,64,Spring,2009,Sundays,17:00,Manga,24,R,9.25,"1,030,092",FALSE,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen","Aniplex,SquareEnix,MainichiBroadcastingSystem,StudioMoriken","Funimation,AniplexofAmerica"
Gintama°,TV,51,Spring,2015,Wednesdays,18:00,Manga,24,R,9.19,"167,077",TRUE,BandaiNamcoPictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu",
Steins;Gate,TV,24,Spring,2011,Wednesdays,2:05,Visualnovel,24,PG-13,9.15,"874,690",FALSE,WhiteFox,"Sci-Fi,Thriller","FrontierWorks,MediaFactory,Movic,AT-X,KadokawaPicturesJapan,Nitroplus",Funimation
Gintama',TV,51,Spring,2011,Mondays,18:00,Manga,24,PG-13,9.13,"191,385",TRUE,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen","TVTokyo,Aniplex,Dentsu,TrinitySound,MiracleRobo,StudioJack,Shueisha",
Hunter x Hunter (2011),TV,148,Fall,2011,Sundays,10:55,Manga,23,PG-13,9.12,"604,294",FALSE,Madhouse,"Action,Adventure,SuperPower,Shounen","VAP,NipponTelevisionNetwork,Shueisha",VizMedia
Owarimonogatari 2nd Season,TV,7,Summer,2017,,,Lightnovel,22,R,9.1,"79,056",TRUE,Shaft,"Mystery,Comedy,Supernatural","Aniplex,Kodansha",AniplexofAmerica
Gintama': Enchousen,TV,13,Fall,2012,Thursdays,18:00,Manga,24,PG-13,9.08,"107,519",TRUE,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu,Shueisha,MiracleBus",
Clannad: After Story,TV,24,Fall,2008,Fridays,1:59,Visualnovel,24,PG-13,9.03,"550,820",TRUE,KyotoAnimation,"Drama,Fantasy,Romance,SliceofLife,Supernatural","PonyCanyon,TBS,Rakuonsha,AnimationDo",SentaiFilmworks
Gintama.,TV,12,Winter,2017,Mondays,1:35,Manga,24,PG-13,9.03,"72,320",TRUE,BandaiNamcoPictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","TVTokyo,Aniplex,Dentsu,Shueisha",
Gintama,TV,201,Spring,2006,Thursdays,18:00,Manga,24,PG-13,9.02,"413,213",FALSE,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen","TVTokyo,Aniplex,Dentsu,TrinitySound,AudioHighs,MiracleRobo,Shueisha","SentaiFilmworks,Crunchyroll"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,Fall,2016,Saturdays,1:55,Manga,24,PG-13,9.01,"200,473",TRUE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","TOHOanimation,Shueisha",SentaiFilmworks
Code Geass: Hangyaku no Lelouch R2,TV,25,Spring,2008,Sundays,17:00,Original,24,R,8.96,"708,124",TRUE,Sunrise,"Action,Drama,Mecha,Military,Sci-Fi,SuperPower","BandaiVisual,MainichiBroadcastingSystem,Bandai,BandaiNamcoEntertainment,HakuhodoDYMediaPartners","Funimation,BandaiEntertainment"
Made in Abyss,TV,13,Summer,2017,Fridays,21:30,Webmanga,25,R,8.92,"160,160",FALSE,KinemaCitrus,"Sci-Fi,Adventure,Mystery,Drama,Fantasy","MediaFactory,AT-X,Takeshobo,SonyMusicCommunications,KadokawaMediaHouse,Cygames,KanetsuCo.,LTD.",SentaiFilmworks
Haikyuu!! Second Season,TV,25,Fall,2015,Sundays,2:58,Manga,24,PG-13,8.89,"277,775",TRUE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","TOHOanimation,Shueisha",SentaiFilmworks
Shigatsu wa Kimi no Uso,TV,22,Fall,2014,Fridays,1:20,Manga,22,PG-13,8.89,"602,108",FALSE,A-1Pictures,"Drama,Music,Romance,School,Shounen","Aniplex,Dentsu,Kodansha,FujiTV,KyorakuIndustrialHoldings",AniplexofAmerica
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Winter,2017,Saturdays,2:25,Manga,24,PG-13,8.87,"57,615",TRUE,StudioDeen,"Drama,Josei","MainichiBroadcastingSystem,Kodansha,DAXProduction,KingRecords",
Mushishi Zoku Shou 2nd Season,TV,10,Fall,2014,Sundays,0:30,Manga,23,PG-13,8.85,"102,398",TRUE,Artland,"Adventure,Fantasy,Historical,Mystery,Seinen,SliceofLife,Supernatural","Aniplex,Kodansha,DelfiSound",AniplexofAmerica
Hajime no Ippo,TV,75,Fall,2000,Tuesdays,0:50,Manga,23,PG-13,8.81,"201,079",FALSE,Madhouse,"Comedy,Sports,Drama,Shounen",VAP,GeneonEntertainmentUSA
Boku no Hero Academia 2nd Season,TV,25,Spring,2017,Saturdays,17:30,Manga,23,PG-13,8.8,"391,723",TRUE,Bones,"Action,Comedy,SuperPower,School,Shounen","Dentsu,YomiuriTelecasting,Movic,SonyMusicEntertainment,TOHOanimation,Shueisha",Funimation
Code Geass: Hangyaku no Lelouch,TV,25,Fall,2006,Fridays,1:25,Original,24,R,8.8,"882,623",FALSE,Sunrise,"Action,Mecha,Military,School,Sci-Fi,SuperPower","BandaiVisual,MainichiBroadcastingSystem,Bandai,SonyMusicEntertainment,BandaiNamcoEntertainment,HakuhodoDYMediaPartners","Funimation,BandaiEntertainment"
Mushishi Zoku Shou,TV,10,Spring,2014,Saturdays,0:00,Manga,24,PG-13,8.78,"129,477",TRUE,Artland,"Adventure,SliceofLife,Mystery,Historical,Supernatural,Fantasy,Seinen","Aniplex,Kodansha,DelfiSound",AniplexofAmerica
Natsume Yuujinchou Roku,TV,11,Spring,2017,Wednesdays,1:35,Manga,23,PG-13,8.78,"50,459",TRUE,Shuka,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha",
Monogatari Series: Second Season,TV,26,Summer,2013,Sundays,0:00,Lightnovel,24,R,8.77,"267,663",TRUE,Shaft,"Mystery,Comedy,Supernatural,Romance,Vampire","Aniplex,Kodansha,CycloneGraphicsinc",AniplexofAmerica
Mushishi,TV,26,Fall,2005,Sundays,3:40,Manga,25,PG-13,8.76,"366,918",FALSE,Artland,"Adventure,Fantasy,Historical,Mystery,Seinen,SliceofLife,Supernatural","AvexEntertainment,Marvelous,SKYPerfectWellThink,DelfiSound",Funimation
One Punch Man,TV,12,Fall,2015,Mondays,1:05,Webmanga,24,R,8.75,"836,044",FALSE,Madhouse,"Action,Sci-Fi,Comedy,Parody,SuperPower,Supernatural,Seinen","TVTokyo,BandaiVisual,Lantis,AsatsuDK,Banpresto,GoodSmileCompany,Shueisha,EastJapanMarketing&Communications",VizMedia
Tengen Toppa Gurren Lagann,TV,27,Spring,2007,Sundays,8:30,Original,24,PG-13,8.75,"699,539",FALSE,Gainax,"Action,Adventure,Comedy,Mecha,Sci-Fi","TVTokyo,Aniplex,Dentsu,Konami,HalfH.PStudio,Bandai","BandaiEntertainment,AniplexofAmerica"
Natsume Yuujinchou Shi,TV,13,Winter,2012,Tuesdays,1:30,Manga,24,PG-13,8.74,"121,380",TRUE,Brain'sBase,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha,SonyMusicEntertainment","NISAmerica,Inc."
Hajime no Ippo: New Challenger,TV,26,Winter,2009,Wednesdays,1:29,Manga,23,PG-13,8.73,"111,847",TRUE,Madhouse,"Comedy,Sports,Drama,Shounen","VAP,Kodansha,NipponTelevisionNetwork",
Monster,TV,74,Spring,2004,Wednesdays,0:40,Manga,24,R+,8.69,"312,740",FALSE,Madhouse,"Drama,Horror,Mystery,Police,Psychological,Seinen,Thriller","VAP,ShogakukanProductions,NipponTelevisionNetwork",VizMedia
Bakuman. 3rd Season,TV,25,Fall,2012,,,Manga,24,PG-13,8.68,"164,933",TRUE,J.C.Staff,"Comedy,Drama,Romance,Shounen","NHK,Shueisha",
Death Note,TV,37,Fall,2006,Wednesdays,0:56,Manga,23,R,8.68,"1,282,888",FALSE,Madhouse,"Mystery,Police,Psychological,Supernatural,Thriller","VAP,Konami,AshiProduction,NipponTelevisionNetwork,Shueisha",VizMedia
Fate/Zero 2nd Season,TV,12,Spring,2012,Sundays,0:00,Lightnovel,24,R,8.68,"439,660",TRUE,ufotable,"Action,Supernatural,Thriller,Fantasy","Aniplex,Nitroplus,Seikaisha,Notes",AniplexofAmerica
Ansatsu Kyoushitsu (TV) 2nd Season,TV,25,Winter,2016,Fridays,1:25,Manga,23,PG-13,8.66,"301,035",TRUE,Lerche,"Action,Comedy,School,Shounen","Dentsu,FujiTV,DAXProduction,AvexPictures,Shueisha,KansaiTelecasting",Funimation
Haikyuu!!,TV,25,Spring,2014,Sundays,17:00,Manga,24,PG-13,8.67,"410,489",FALSE,ProductionI.G,"Comedy,Sports,Drama,School,Shounen","MainichiBroadcastingSystem,TOHOanimation,Shueisha",SentaiFilmworks
Hajime no Ippo: Rising,TV,25,Fall,2013,Sundays,1:35,Manga,22,PG-13,8.67,"89,153",TRUE,"Madhouse,MAPPA","Comedy,Sports,Drama,Shounen","VAP,Kodansha,NipponTelevisionNetwork",
Natsume Yuujinchou San,TV,13,Summer,2011,Tuesdays,1:30,Manga,24,PG-13,8.66,"127,346",TRUE,Brain'sBase,"Drama,Fantasy,Shoujo,SliceofLife,Supernatural","Aniplex,SakuraCreate","NISAmerica,Inc."
Yojouhan Shinwa Taikei,TV,11,Spring,2010,Fridays,0:45,Novel,23,R,8.66,"160,199",FALSE,Madhouse,"Mystery,Psychological,Romance","Dentsu,KadokawaShoten,FujiTV,Toho,AsmikAceEntertainment,TohokushinshaFilmCorporation,SonyMusicEntertainment,FujiPacificMusicPublishing",Funimation
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Spring,2016,Saturdays,0:30,Manga,23,R,8.65,"141,222",TRUE,DavidProduction,"Action,Adventure,Comedy,Supernatural,Drama,Shounen","WarnerBros.,KlockWorx,MedicosEntertainment,Shueisha",VizMedia
Natsume Yuujinchou Go,TV,11,Fall,2016,Wednesdays,1:35,Manga,23,PG-13,8.65,"69,003",TRUE,Shuka,"SliceofLife,Supernatural,Drama,Fantasy,Shoujo","TVTokyo,Aniplex,NihonAdSystems,Hakusensha",
Ping Pong The Animation,TV,11,Spring,2014,Fridays,0:50,Manga,23,PG-13,8.65,"127,132",FALSE,TatsunokoProduction,"Psychological,Seinen,Sports","Aniplex,Dentsu,FujiTV,KyorakuIndustrialHoldings",Funimation
Shouwa Genroku Rakugo Shinjuu,TV,13,Winter,2016,Saturdays,2:25,Manga,26,PG-13,8.63,"120,685",FALSE,StudioDeen,"Drama,Historical,Josei","StarchildRecords,MainichiBroadcastingSystem,Kodansha,DAXProduction",
Zoku Natsume Yuujinchou,TV,13,Winter,2009,Tuesdays,1:00,Manga,24,PG-13,8.63,"136,742",TRUE,Brain'sBase,"Drama,Fantasy,Shoujo,SliceofLife,Supernatural","Aniplex,NihonAdSystems","NISAmerica,Inc."
Rainbow: Nisha Rokubou no Shichinin,TV,26,Spring,2010,,,Manga,22,R,8.61,"176,105",FALSE,Madhouse,"Drama,Historical,Seinen,Thriller","VAP,NipponTelevisionNetwork",Funimation
Aria The Origination,TV,13,Winter,2008,Tuesdays,2:00,Manga,24,G,8.6,"65,702",TRUE,HalFilmMaker,"Fantasy,Sci-Fi,Shounen,SliceofLife","TVTokyo,Shochiku,MagGarden",NozomiEntertainment
